,,,,개시일,12월 18일,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
단계,Activities,,,시작일,완료일,"기간
(일)",진도율,담당자,산출물,수행 일정,,,,,,,,,,,,,,비 고
,,,,,,,,,,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,
,,,,,,,,,,24/12/18,24/12/19,24/12/20,24/12/21,24/12/22,24/12/25,#REF!,#REF!,#REF!,25/1/1,#REF!,#REF!,#REF!,25/1/8,
주요 마일스톤,,,,,,,,,,,,,,,,,,,,,,,,
1. 사전구성,1 EPAS 환경 구성,,,,,,,,,,,,,,,,,,,,,,,
,,1.1 EPAS 서버 구성,,,,,,,,,,,,,,,,,,,,,,
,,,"서버 설치 및 OS, 필수 라이브러리 설치 및 구성",,,,,AUTOEVER,,,,,,,,,,,,,,,,
,,1.2 DEV 구성,,,,,,,,,,,,,,,,,,,,,,
,,,"Server 구성, DB 설치",,,,,TAM,,,,,,,,,,,,,,,,
,,1.3 STG 구성,,,,,,,,,,,,,,,,,,,,,,
,,,"Server 구성, DB 설치",,,,,TAM,,,,,,,,,,,,,,,,
,,1.4 PRD 구성,,,,,,,,,,,,,,,,,,,,,,
,,,"Primary Server 구성, DB설치",,,,,TAM,,,,,,,,,,,,,,,,
,,,"Standby Server 구성, Active-Standby 구성",,,,,TAM / MCCS,,,,,,,,,,,,,,,,
,,,"Read Replica , DR 구성",,,,,TAM,설치완료문서,,,,,,,,,,,,,,,
2. 구성환경 테스트,"2 Failover, 장애/복구 테스트",,,,,,,,,,,,,,,,,,,,,,,
,,2.1 Failover 테스트,,,,,,,,,,,,,,,,,,,,,,
,,,[PRD] Failover 테스트 수행,,,,,TAM / MCCS,failover테스트 문서,,,,,,,,,,,,,,,
,,2.2 장애/복구 테스트,,,,,,,,,,,,,,,,,,,,,,
,,,[PRD] Case별 장애/복구 테스트 수행,,,,,TAM,case별 장애 복구 대응 문서,,,,,,,,,,,,,,,
3. 분석/진단,3 Database 구성,,,,,,,,,,,,,,,,,,,,,,,
,,3.1 스키마 마이그레이션,,,,,,,,,,,,,,,,,,,,,,
,,,"[DEV,STG,PRD] Migration Portal을 이용한 Object 전환 수행 (DDL 추출) ",,,,,TAM / RP,,,,,,,,,,,,,,,,
,,,"[DEV,STG,PRD] EPAS에 맞게 전환된 DDL 반영",,,,,TAM / RP,변환 DDL,,,,,,,,,,,,,,,
,,,"[DEV,STG,PRD] Object 개수 체크",,,,,TAM / RP,OBJECT 검증 결과 문서,,,,,,,,,,,,,,,
4. 데이터 이관,4 데이터 이관 및 정합성 체크,,,,,,,,,,,,,,,,,,,,,,,
,,4.1 DEV 데이터 마이그레이션,,,,,,,,,,,,,,,,,,,,,,
,,,xlog를 이용한 데이터 마이그레이션,,,,,XLOG,,,,,,,,,,,,,,,,
,,,xlog를 이용한 데이터 이관 시 문제 지원,,,,,XLOG / TAM / RP,,,,,,,,,,,,,,,,
,,,이관 데이터 검증,,,,,XLOG,,,,,,,,,,,,,,,,
,,4.2 STG 데이터 마이그레이션,,,,,,,,,,,,,,,,,,,,,,
,,,xlog를 이용한 데이터 마이그레이션,,,,,XLOG,,,,,,,,,,,,,,,,
,,,xlog를 이용한 데이터 이관 시 문제 지원,,,,,XLOG / TAM / RP,,,,,,,,,,,,,,,,
,,,이관 데이터 검증,,,,,XLOG,,,,,,,,,,,,,,,,
,,4.3 PRD 데이터 마이그레이션,,,,,,,,,,,,,,,,,,,,,,
,,,xlog를 이용한 데이터 마이그레이션,,,,,XLOG,,,,,,,,,,,,,,,,
,,,xlog를 이용한 데이터 이관 시 문제 지원,,,,,XLOG / TAM / RP,,,,,,,,,,,,,,,,
,,,이관 데이터 검증,,,,,XLOG,,,,,,,,,,,,,,,,
5. 어플리케이션 검증 및 튜닝,5 데이터 현행화 및 어플리케이션 테스트,,,,,,,,,,,,,,,,,,,,,,,
,,5.1 PRD 현행화,,,,,,,,,,,,,,,,,,,,,,
,,,PRD EPAS Meta backup,,,,,RP,,,,,,,,,,,,,,,,
,,,PRD DB 초기화 후 Meta 구성,,,,,RP,,,,,,,,,,,,,,,,
,,,Xlog를 이용한 데이터 현행화,,,,,XLOG,,,,,,,,,,,,,,,,
,,5.2 단위 테스트,,,,,,,,,,,,,,,,,,,,,,
,,,단위 테스트 진행,,,,,AUTOEVER,,,,,,,,,,,,,,,,
,,,성능 모니터링 / TOP-SQL 추출 및 전달,,,,,PS / RP,TOP-SQL,,,,,,,,,,,,,,,
,,,파라미터 튜닝,,,,,PS,파라미터 수정안,,,,,,,,,,,,,,,
,,5.3 PRD 현행화,,,,,,,,,,,,,,,,,,,,,,
,,,PRD EPAS Meta backup,,,,,RP,,,,,,,,,,,,,,,,
,,,PRD DB 초기화 후 Meta 구성,,,,,RP,,,,,,,,,,,,,,,,
,,,Xlog를 이용한 데이터 현행화,,,,,XLOG,,,,,,,,,,,,,,,,
,,5.4 1차 통합 테스트,,,,,,,,,,,,,,,,,,,,,,
,,,단위 테스트 진행,,,,,AUTOEVER,,,,,,,,,,,,,,,,
,,,성능 모니터링 / TOP-SQL 추출 및 전달,,,,,PS / RP,TOP-SQL,,,,,,,,,,,,,,,
,,,파라미터 튜닝,,,,,PS,파라미터 수정안,,,,,,,,,,,,,,,
,,5.5 PRD 현행화,,,,,,,,,,,,,,,,,,,,,,
,,,PRD EPAS Meta backup,,,,,RP,,,,,,,,,,,,,,,,
,,,PRD DB 초기화 후 Meta 구성,,,,,RP,,,,,,,,,,,,,,,,
,,,Xlog를 이용한 데이터 현행화,,,,,XLOG,,,,,,,,,,,,,,,,
,,5.6 2차 통합 테스트,,,,,,,,,,,,,,,,,,,,,,
,,,단위 테스트 진행,,,,,AUTOEVER,,,,,,,,,,,,,,,,
,,,성능 모니터링 / TOP-SQL 추출 및 전달,,,,,PS / RP,TOP-SQL,,,,,,,,,,,,,,,
,,,파라미터 튜닝,,,,,PS,파라미터 수정안,,,,,,,,,,,,,,,
6. 데이터 현행화,6 최종 데이터 현행화,,,,,,,,,,,,,,,,,,,,,,,
,,6.1 DEV 데이터 현행화,,,,,,,,,,,,,,,,,,,,,,
,,,EPAS Meta backup,,,,,RP,,,,,,,,,,,,,,,,
,,,DB 초기화 후 Meta 구성,,,,,RP,,,,,,,,,,,,,,,,
,,,Xlog를 이용한 데이터 현행화,,,,,XLOG,,,,,,,,,,,,,,,,
,,,이관 데이터 검증,,,,,XLOG,,,,,,,,,,,,,,,,
